City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2020-01-07 20:45:24,73.51,80.55,4.06,95,95,10.25
1,Araouane,ML,2020-01-07 20:45:24,18.9,-3.53,62.82,14,100,7.78
2,Balclutha,NZ,2020-01-07 20:45:25,-46.24,169.74,55.0,66,95,8.99
3,Vao,EE,2020-01-07 20:45:25,59.1,26.19,38.34,82,100,13.85
4,Rikitea,PF,2020-01-07 20:45:25,-23.12,-134.97,77.29,79,0,18.25
5,Barrow,AR,2020-01-07 20:45:26,-38.31,-60.23,82.62,25,0,3.76
6,Ushuaia,AR,2020-01-07 20:41:12,-54.81,-68.31,53.6,81,75,10.29
7,Atuona,PF,2020-01-07 20:45:26,-9.8,-139.03,81.09,74,1,12.12
8,Souillac,FR,2020-01-07 20:45:26,45.6,-0.6,53.6,100,90,6.93
9,Busselton,AU,2020-01-07 20:45:26,-33.64,115.35,63.0,56,26,4.45
10,Cap-Aux-Meules,CA,2020-01-07 20:43:16,47.38,-61.86,28.4,74,90,13.87
11,Havoysund,NO,2020-01-07 20:45:27,71.0,24.66,35.6,79,100,10.29
12,New Norfolk,AU,2020-01-07 20:45:27,-42.78,147.06,66.0,82,20,1.12
13,Salalah,OM,2020-01-07 20:45:27,17.01,54.1,78.8,47,0,10.29
14,Fukue,JP,2020-01-07 20:45:27,35.03,136.69,54.0,93,75,2.24
15,Mataura,NZ,2020-01-07 20:45:28,-46.19,168.86,52.0,78,92,5.01
16,Half Moon Bay,US,2020-01-07 20:45:28,37.46,-122.43,59.0,76,1,17.22
17,Punta Arenas,CL,2020-01-07 20:45:28,-53.16,-70.91,60.8,38,85,18.34
18,Lorengau,PG,2020-01-07 20:45:28,-2.02,147.27,83.55,75,100,4.65
19,Omboue,GA,2020-01-07 20:45:29,-1.57,9.26,76.42,92,100,3.06
20,Bluff,AU,2020-01-07 20:45:29,-23.58,149.07,72.39,84,57,9.13
21,Buala,SB,2020-01-07 20:45:29,-8.15,159.59,83.34,77,64,4.61
22,Prince Rupert,CA,2020-01-07 20:45:29,54.32,-130.32,32.0,56,40,4.7
23,Castro,CL,2020-01-07 20:45:30,-42.48,-73.76,55.4,87,75,11.41
24,Saint Anthony,US,2020-01-07 20:45:30,43.97,-111.68,35.6,80,40,3.36
25,Carbonia,IT,2020-01-07 20:45:30,39.17,8.53,54.0,93,20,4.7
26,Yantal,RU,2020-01-07 20:45:30,56.85,105.25,6.33,91,0,4.27
27,Hithadhoo,MV,2020-01-07 20:45:30,-0.6,73.08,83.48,75,96,12.53
28,Butaritari,KI,2020-01-07 20:45:31,3.07,172.79,84.85,77,67,17.45
29,Albany,US,2020-01-07 20:45:31,42.65,-73.75,37.4,44,90,3.24
30,Buta,CD,2020-01-07 20:45:31,2.79,24.73,73.62,42,46,1.77
31,Yarmouth,CA,2020-01-07 20:45:32,43.84,-66.12,33.01,70,40,18.34
32,Torbay,CA,2020-01-07 20:45:32,47.66,-52.73,28.0,86,90,3.36
33,Saldanha,PT,2020-01-07 20:45:32,41.42,-6.55,39.09,75,17,1.12
34,Faanui,PF,2020-01-07 20:45:32,-16.48,-151.75,81.57,80,10,17.98
35,Jamestown,AU,2020-01-07 20:45:32,-33.21,138.6,71.2,30,0,13.94
36,Kieta,PG,2020-01-07 20:45:33,-6.22,155.63,82.71,78,99,3.76
37,Mar Del Plata,AR,2020-01-07 20:45:33,-46.43,-67.52,70.59,30,86,26.78
38,Saint George,GR,2020-01-07 20:45:33,39.45,22.34,35.6,55,20,3.36
39,Airai,TL,2020-01-07 20:45:33,-8.93,125.41,66.96,78,73,4.29
40,Ancud,CL,2020-01-07 20:45:34,-41.87,-73.83,55.4,87,75,11.41
41,Severo-Kurilsk,RU,2020-01-07 20:45:34,50.68,156.12,18.82,88,58,10.38
42,Cidreira,BR,2020-01-07 20:45:34,-30.17,-50.22,75.56,75,4,15.93
43,Gushikawa,JP,2020-01-07 20:45:34,26.35,127.87,73.4,88,20,10.29
44,Qaanaaq,GL,2020-01-07 20:45:34,77.48,-69.36,-24.79,91,29,1.99
45,Kangaatsiaq,GL,2020-01-07 20:45:35,68.31,-53.46,0.82,100,100,20.58
46,Vaini,IN,2020-01-07 20:45:35,15.34,74.49,65.88,79,0,1.43
47,Maragogi,BR,2020-01-07 20:45:35,-9.01,-35.22,80.98,69,0,12.68
48,Coquimbo,CL,2020-01-07 20:45:35,-29.95,-71.34,69.8,56,0,16.11
49,Bredasdorp,ZA,2020-01-07 20:45:36,-34.53,20.04,69.8,83,0,2.24
50,Bathsheba,BB,2020-01-07 20:45:36,13.22,-59.52,84.2,58,20,16.11
51,Codrington,AU,2020-01-07 20:45:36,-28.95,153.24,73.99,88,58,4.7
52,Kulhudhuffushi,MV,2020-01-07 20:45:36,6.62,73.07,82.09,70,33,6.17
53,Husavik,CA,2020-01-07 20:45:37,50.56,-96.99,1.99,74,100,8.99
54,Hobart,AU,2020-01-07 20:45:02,-42.88,147.33,66.0,82,20,1.12
55,Goderich,CA,2020-01-07 20:44:01,43.74,-81.71,42.01,57,89,4.0
56,Port Alfred,ZA,2020-01-07 20:45:37,-33.59,26.89,68.0,97,100,1.01
57,Waipawa,NZ,2020-01-07 20:45:37,-39.94,176.59,64.99,51,0,6.22
58,Kapaa,US,2020-01-07 20:45:38,22.08,-159.32,80.6,74,40,21.92
59,Saint-Pierre,FR,2020-01-07 20:45:38,48.95,4.24,45.0,100,90,11.41
60,Alta Floresta,BR,2020-01-07 20:45:38,-9.87,-56.08,86.0,70,20,3.36
61,Caohai,CN,2020-01-07 20:45:38,26.87,104.28,43.18,96,2,8.12
62,Kayes,ML,2020-01-07 20:45:38,14.44,-11.44,71.04,12,97,10.38
63,Verkhnyaya Inta,RU,2020-01-07 20:45:39,65.99,60.32,6.94,94,88,8.05
64,Hasaki,JP,2020-01-07 20:45:39,35.73,140.83,39.2,100,75,3.36
65,Batagay-Alyta,RU,2020-01-07 20:45:39,67.8,130.41,-6.9,84,100,3.42
66,Wewak,PG,2020-01-07 20:45:40,-3.55,143.63,76.03,93,100,5.64
67,Katsuura,JP,2020-01-07 20:45:40,33.93,134.5,64.4,82,75,20.8
68,Alice Springs,AU,2020-01-07 20:45:40,-23.7,133.88,77.0,47,100,5.82
69,Kloulklubed,PW,2020-01-07 20:45:41,7.04,134.26,80.6,78,75,11.41
70,Mapastepec,MX,2020-01-07 20:45:41,15.44,-92.9,91.47,32,0,1.92
71,Gobabis,NA,2020-01-07 20:45:41,-22.45,18.97,69.91,77,67,8.9
72,Pisco,PE,2020-01-07 20:45:41,-13.71,-76.2,73.0,30,20,10.29
73,Barcelona,ES,2020-01-07 20:45:42,41.38,2.18,54.0,70,90,11.41
74,Middle Island,US,2020-01-07 20:41:31,40.88,-72.94,42.01,44,90,9.17
75,Mecca,SA,2020-01-07 20:45:09,21.43,39.83,64.06,64,0,3.94
76,Piterka,RU,2020-01-07 20:45:42,50.68,47.44,26.29,96,100,5.68
77,Puerto Ayora,EC,2020-01-07 20:45:42,-0.74,-90.35,84.2,62,75,10.29
78,Aykhal,RU,2020-01-07 20:45:43,65.95,111.51,5.0,92,55,6.71
79,Sao Domingos,BR,2020-01-07 20:45:43,-13.4,-46.32,73.44,86,100,0.94
80,Nome,US,2020-01-07 20:45:43,30.04,-94.42,68.0,24,1,6.93
81,Chalus,IR,2020-01-07 20:45:43,36.66,51.42,44.6,81,0,5.17
82,Arraial Do Cabo,BR,2020-01-07 20:45:44,-22.97,-42.02,91.4,74,20,12.75
83,Sorland,NO,2020-01-07 20:45:44,67.67,12.69,41.0,80,75,24.16
84,Mahebourg,MU,2020-01-07 20:45:44,-20.41,57.7,78.8,88,75,1.12
85,Panzhihua,CN,2020-01-07 20:45:45,26.59,101.72,39.87,83,4,1.19
86,Gotsu,JP,2020-01-07 20:45:45,35.01,132.22,57.94,71,100,47.0
87,Camargo,MX,2020-01-07 20:45:45,27.69,-105.17,62.62,23,0,9.71
88,Kalmunai,LK,2020-01-07 20:45:45,7.42,81.82,81.01,79,81,20.4
89,Hermanus,ZA,2020-01-07 20:45:46,-34.42,19.24,70.0,90,0,1.01
90,Tuatapere,NZ,2020-01-07 20:45:46,-46.13,167.69,52.0,78,100,5.01
91,Tuktoyaktuk,CA,2020-01-07 20:45:46,69.44,-133.03,-32.8,66,20,12.75
92,Bethel,US,2020-01-07 20:45:47,60.79,-161.76,-18.4,68,1,11.41
