City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Saint-Philippe,RE,2020-01-14 19:23:20,-21.36,55.77,Rain,light rain,80.6,69,96,6.93,0.38,0.0
1,Cape Town,ZA,2020-01-14 19:23:20,-33.93,18.42,Clouds,few clouds,73.99,94,20,20.8,0.0,0.0
2,Ilo,PE,2020-01-14 19:23:20,-17.64,-71.34,Clouds,scattered clouds,78.8,65,39,10.29,0.0,0.0
3,Flinders,AU,2020-01-14 19:23:21,-34.58,150.86,Clouds,few clouds,66.0,100,17,7.45,0.0,0.0
4,Dubai,AE,2020-01-14 19:19:00,25.26,55.3,Clouds,scattered clouds,66.2,48,40,8.05,0.0,0.0
5,Kapaa,US,2020-01-14 19:21:35,22.08,-159.32,Clouds,overcast clouds,75.2,83,90,16.11,0.0,0.0
6,Luderitz,NA,2020-01-14 19:23:21,-26.65,15.16,Clear,clear sky,69.8,77,0,23.04,0.0,0.0
7,Coahuayana,MX,2020-01-14 19:23:22,18.73,-103.68,Clouds,scattered clouds,84.2,45,40,5.57,0.0,0.0
8,Hamilton,US,2020-01-14 19:23:22,39.18,-84.53,Clouds,overcast clouds,54.0,81,90,5.82,0.0,0.0
9,Ribeira Grande,PT,2020-01-14 19:23:22,38.52,-28.7,Clouds,scattered clouds,55.4,76,40,14.99,0.0,0.0
10,Albany,US,2020-01-14 19:19:33,42.6,-73.97,Clouds,scattered clouds,45.0,69,40,6.93,0.0,0.0
11,Shingu,JP,2020-01-14 19:23:22,33.73,135.98,Rain,light rain,50.77,74,100,11.54,0.31,0.0
12,Puerto Ayora,EC,2020-01-14 19:23:23,-0.74,-90.35,Clouds,few clouds,86.0,62,20,18.34,0.0,0.0
13,Guerrero Negro,MX,2020-01-14 19:23:23,27.98,-114.06,Clouds,overcast clouds,63.34,67,100,9.82,0.0,0.0
14,Bathsheba,BB,2020-01-14 19:23:23,13.22,-59.52,Rain,light intensity shower rain,77.0,83,75,24.16,0.0,0.0
15,Tezu,IN,2020-01-14 19:19:04,27.92,96.17,Clouds,few clouds,58.55,49,22,3.06,0.0,0.0
16,Punta Arenas,CL,2020-01-14 19:20:35,-53.15,-70.92,Clouds,scattered clouds,59.0,49,40,25.28,0.0,0.0
17,Te Anau,NZ,2020-01-14 19:18:48,-45.42,167.72,Clouds,broken clouds,45.81,83,67,0.74,0.0,0.0
18,Tieling,CN,2020-01-14 19:23:24,42.29,123.84,Clear,clear sky,-2.99,92,0,1.03,0.0,0.0
19,Warren,US,2020-01-14 19:22:17,39.43,-84.17,Rain,light rain,53.01,100,90,13.87,0.0,0.0
20,Mingaora,PK,2020-01-14 19:18:26,34.78,72.36,Clear,clear sky,25.93,51,0,10.31,0.0,0.0
21,Laguna,US,2020-01-14 19:23:25,38.42,-121.42,Clear,clear sky,55.0,71,1,8.05,0.0,0.0
22,Vaini,TO,2020-01-14 19:23:25,-21.2,-175.2,Clouds,broken clouds,78.8,88,75,6.93,0.0,0.0
23,Cap Malheureux,MU,2020-01-14 19:23:25,-19.98,57.61,Rain,shower rain,81.0,83,40,4.7,0.0,0.0
24,Ossora,RU,2020-01-14 19:23:25,59.24,163.07,Snow,snow,32.68,98,100,26.24,0.0,7.94
25,Rikitea,PF,2020-01-14 19:23:26,-23.12,-134.97,Clear,clear sky,78.15,79,0,11.45,0.0,0.0
26,Boddam,GB,2020-01-14 19:23:26,57.47,-1.78,Clouds,scattered clouds,39.2,86,40,6.93,0.0,0.0
27,Hilo,US,2020-01-14 19:23:26,19.73,-155.09,Rain,light rain,71.01,97,88,3.0,0.5,0.0
28,Shostka,UA,2020-01-14 19:23:26,51.86,33.47,Clouds,broken clouds,31.84,94,80,5.28,0.0,0.0
29,Artvin,TR,2020-01-14 19:23:27,41.17,41.83,Clouds,overcast clouds,41.0,80,95,10.29,0.0,0.0
30,Hithadhoo,MV,2020-01-14 19:23:27,-0.6,73.08,Rain,moderate rain,81.28,81,47,13.02,3.25,0.0
31,Bethel,US,2020-01-14 19:23:27,41.37,-73.41,Clear,clear sky,45.0,75,1,4.7,0.0,0.0
32,Bredasdorp,ZA,2020-01-14 19:23:27,-34.53,20.04,Clouds,scattered clouds,73.99,83,31,6.93,0.0,0.0
33,Hofn,IS,2020-01-14 19:23:28,64.25,-15.21,Clouds,broken clouds,42.39,74,83,33.33,0.0,0.0
34,Faanui,PF,2020-01-14 19:23:28,-16.48,-151.75,Rain,light rain,81.27,79,91,16.28,0.13,0.0
35,Seymchan,RU,2020-01-14 19:23:28,62.88,152.43,Clouds,overcast clouds,-18.81,95,100,3.58,0.0,0.0
36,Nuuk,GL,2020-01-14 19:23:28,64.18,-51.72,Rain,shower rain,12.2,85,75,3.36,0.0,0.0
37,Tisul,RU,2020-01-14 19:23:29,55.76,88.31,Clouds,overcast clouds,13.62,83,98,11.36,0.0,0.0
38,Nanortalik,GL,2020-01-14 19:23:29,60.14,-45.24,Clouds,broken clouds,20.64,74,64,11.25,0.0,0.0
39,Maiduguri,NG,2020-01-14 19:23:29,11.85,13.16,Clear,clear sky,82.51,15,3,9.6,0.0,0.0
40,Nizhniy Odes,RU,2020-01-14 19:23:29,63.64,54.86,Snow,light snow,10.47,95,100,7.34,0.0,0.56
41,Mogadishu,SO,2020-01-14 19:20:52,2.04,45.34,Clouds,scattered clouds,80.92,81,31,29.15,0.0,0.0
42,Maragogi,BR,2020-01-14 19:21:29,-9.01,-35.22,Rain,light rain,80.62,76,61,12.24,0.13,0.0
43,Cidreira,BR,2020-01-14 19:23:31,-30.18,-50.21,Clouds,few clouds,75.49,81,11,24.72,0.0,0.0
44,Yar-Sale,RU,2020-01-14 19:23:31,66.83,70.83,Clear,clear sky,-11.78,79,6,10.38,0.0,0.0
45,Florence,IT,2020-01-14 19:22:57,43.77,11.25,Clouds,broken clouds,46.0,87,75,3.36,0.0,0.0
46,Mahebourg,MU,2020-01-14 19:23:32,-20.41,57.7,Rain,shower rain,81.0,83,40,4.7,0.0,0.0
47,Walvis Bay,NA,2020-01-14 19:23:32,-22.96,14.51,Clouds,scattered clouds,73.4,60,29,6.93,0.0,0.0
48,Ilebo,CD,2020-01-14 19:23:32,-4.32,20.58,Clouds,few clouds,79.52,61,22,1.99,0.0,0.0
49,Bang Len,TH,2020-01-14 19:19:44,14.02,100.17,Clouds,few clouds,82.99,88,20,4.7,0.0,0.0
50,New Norfolk,AU,2020-01-14 19:23:33,-42.78,147.06,Clouds,overcast clouds,62.6,82,90,5.82,0.0,0.0
51,Chato,TZ,2020-01-14 19:23:33,-2.64,31.77,Clouds,few clouds,73.92,69,14,8.08,0.0,0.0
52,Karratha,AU,2020-01-14 19:23:33,-20.74,116.85,Clouds,broken clouds,84.36,82,52,8.7,0.0,0.0
53,Castro,BR,2020-01-14 19:23:33,-24.79,-50.01,Clouds,overcast clouds,82.45,39,98,1.77,0.0,0.0
54,Mehran,IR,2020-01-14 19:23:34,33.12,46.16,Clear,clear sky,33.8,69,0,4.7,0.0,0.0
55,Sur,OM,2020-01-14 19:23:34,22.57,59.53,Rain,light rain,65.61,63,1,3.67,0.13,0.0
56,Pisco,PE,2020-01-14 19:23:34,-13.7,-76.22,Clouds,broken clouds,73.0,30,75,10.29,0.0,0.0
57,Oakdale,US,2020-01-14 19:21:09,44.96,-92.96,Clouds,overcast clouds,25.0,79,90,11.41,0.0,0.0
58,Hobart,AU,2020-01-14 19:20:11,-42.88,147.33,Clouds,overcast clouds,63.0,82,90,5.82,0.0,0.0
59,Port Alfred,ZA,2020-01-14 19:23:35,-33.59,26.89,Clouds,scattered clouds,73.0,93,26,1.01,0.0,0.0
